"CO1_COI.A3C1"	"CO1_COI.A3C2"	"CO1_COI.A3C3"	"CO1_COI.A3C4"	"CO1_COI.A3S1"	"CO1_COI.A3S2"	"CO1_COI.A3S3"	"CO1_COI.A3S4"	"CO1_COI.A3V1"	"CO1_COI.A3V2"	"CO1_COI.A3V3"	"CO1_COI.A3V4"	"CO1_COI.A6C1"	"CO1_COI.A6C2"	"CO1_COI.A6C3"	"CO1_COI.A6C4"	"CO1_COI.A6S1"	"CO1_COI.A6S2"	"CO1_COI.A6S3"	"CO1_COI.A6S4"	"CO1_COI.A6V1"	"CO1_COI.A6V2"	"CO1_COI.A6V3"	"CO1_COI.A6V4"
"forward_CO1_40"	3	5	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_41"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_42"	6	6	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"forward_CO1_43"	4	6	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_44"	4	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_45"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_46"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_47"	8	4	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"forward_CO1_48"	3	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_49"	2	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_50"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
"forward_CO1_51"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"forward_CO1_52"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"forward_CO1_53"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_54"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_55"	4	9	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"forward_CO1_56"	1	6	3	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
"forward_CO1_57"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"forward_CO1_58"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_59"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_60"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_61"	5	2	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_62"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
"forward_CO1_63"	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_64"	1	4	1	4	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"forward_CO1_65"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"forward_CO1_66"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_67"	6	4	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"forward_CO1_68"	4	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_69"	4	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"forward_CO1_70"	3	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_71"	2	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"forward_CO1_72"	1	1	3	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"forward_CO1_73"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_74"	4	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_75"	0	4	0	3	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"forward_CO1_76"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_77"	3	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_78"	3	3	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_79"	1	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"forward_CO1_80"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"forward_CO1_81"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
