"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Specie"
"forward_CO1_19068"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19069"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19070"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19071"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19072"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19073"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19074"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19075"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19076"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19077"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19078"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19079"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19080"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19081"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19082"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19083"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19084"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19085"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19086"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19087"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19088"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19089"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19090"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19091"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19092"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19093"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19094"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19095"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19096"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19097"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19098"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19099"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19100"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19101"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19102"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19103"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19104"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19105"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19106"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19107"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19108"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19109"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19110"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19111"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19112"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19113"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19114"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19115"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19116"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19117"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19118"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19119"	"Eukaryota"	"Bryozoa"	"Gymnolaemata"	"Ctenostomatida"	"Alcyonidiidae"	"Alcyonidium"	"Unassigned"
"forward_CO1_19120"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19121"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19122"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19123"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19124"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19125"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19126"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19127"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19128"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19129"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19130"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19131"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19132"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19133"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19134"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19135"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19136"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19137"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19138"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19139"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19140"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19141"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19142"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19143"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19144"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19145"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19146"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19147"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19148"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19149"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19150"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19151"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19152"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19153"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19154"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19155"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19156"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19157"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19158"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19159"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19160"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19161"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19162"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19163"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19164"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19165"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19166"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19167"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19168"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19169"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19170"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19171"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19172"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19173"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19174"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19175"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19176"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19177"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19178"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19179"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19180"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19181"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19182"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19183"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19184"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19185"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19186"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19187"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19188"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19189"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19190"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19191"	"Eukaryota"	"Annelida"	"Polychaeta"	"Terebellida"	"Cirratulidae"	"Cirratulus"	"Unassigned"
"forward_CO1_19192"	"Eukaryota"	"Annelida"	"Polychaeta"	"Terebellida"	"Cirratulidae"	"Cirratulus"	"Unassigned"
"forward_CO1_19193"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19194"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19195"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19196"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19197"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19198"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19199"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19200"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19201"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19202"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19203"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19204"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19205"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19206"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19207"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19208"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19209"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19210"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19211"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19212"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19213"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19214"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19215"	"Eukaryota"	"Bacillariophyta"	"Mediophyceae"	"Cymatosirales"	"Cymatosiraceae"	"Minutocellus"	"Minutocellus polymorphus"
"forward_CO1_19216"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19217"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19218"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19219"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19220"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19221"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19222"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19223"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19224"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19225"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19226"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19227"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19228"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19229"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19230"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19231"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19232"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19233"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19234"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19235"	"Eukaryota"	"Cnidaria"	"Hydrozoa"	"Anthoathecata"	"Bougainvilliidae"	"Bougainvillia"	"Bougainvillia muscus"
"forward_CO1_19236"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19237"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19238"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19239"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19240"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19241"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19242"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19243"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19244"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19245"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19246"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19247"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19248"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19249"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19250"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19251"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19252"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19253"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19254"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19255"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19256"	"Eukaryota"	"Arthropoda"	"Malacostraca"	"Decapoda"	"Porcellanidae"	"Petrolisthes"	"Petrolisthes armatus"
"forward_CO1_19257"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19258"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19259"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19260"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19261"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19262"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19263"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19264"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19265"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
"forward_CO1_19266"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"	"Unassigned"
